latitude,longitude,altitude,intensity,x,y,z,level,x_rounded,y_rounded
45.90365041,11.02798832,225.9992,4.0,4357064.419370294,4496714.928598186,1212088.28616887,upper,217853221.0,224835746.0
45.90365323,11.02799051,226.0275,4.0,4357064.185132139,4496715.129713839,1212088.5293641197,upper,217853209.0,224835756.0
45.90364965,11.0279935,226.5253,4.0,4357064.762078671,4496715.162938134,1212088.9492302819,upper,217853238.0,224835758.0
45.90365284,11.02799831,225.978,4.0,4357064.067078822,4496714.946629919,1212089.3667893494,upper,217853203.0,224835747.0
45.90365494,11.02799898,225.9093,3.0,4357063.845476836,4496715.047715706,1212089.426393841,upper,217853192.0,224835752.0
45.90365508,11.02799935,225.9335,3.0,4357063.845570182,4496715.0697980765,1212089.4711962033,upper,217853192.0,224835753.0
45.90365752,11.02799165,226.06,1.0,4357063.853854244,4496715.461532812,1212088.659357817,upper,217853193.0,224835773.0
45.90366104,11.02800457,226.0228,4.0,4357063.361945339,4496715.506649049,1212090.0550458026,upper,217853168.0,224835775.0
45.90366303,11.02800518,225.9235,3.0,4357063.128959569,4496715.578711418,1212090.1022822796,upper,217853156.0,224835779.0
45.9036662,11.02800007,225.9572,4.0,4357062.978430644,4496715.9211844085,1212089.5539045748,upper,217853149.0,224835796.0
45.90366565,11.02800848,225.9738,4.0,4357062.909099848,4496715.763257702,1212090.470205403,upper,217853145.0,224835788.0
45.90366527,11.02800546,226.5439,3.0,4357063.3727795305,4496716.182122885,1212090.2513591608,upper,217853169.0,224835809.0
45.90367265,11.02800538,225.973,3.0,4357062.404822333,4496716.342118868,1212090.1334663045,upper,217853120.0,224835817.0
45.90366798,11.02800745,226.5273,4.0,4357063.119451817,4496716.346262378,1212090.4642503262,upper,217853156.0,224835817.0
45.90367232,11.02801205,225.8992,3.0,4357062.282101525,4496716.163640342,1212090.843552105,upper,217853114.0,224835808.0
45.90367327,11.02801401,225.8155,4.0,4357062.121514329,4496716.147096925,1212091.0403504705,upper,217853106.0,224835807.0
45.90367668,11.02800801,225.9687,3.0,4357062.04687504,4496716.605582369,1212090.4181990393,upper,217853102.0,224835830.0
45.9036742,11.02801415,226.0308,3.0,4357062.193517647,4496716.367458235,1212091.0967356372,upper,217853110.0,224835818.0
45.90367661,11.0280167,225.7906,3.0,4357061.802766328,4496716.342656353,1212091.3276572048,upper,217853090.0,224835817.0
45.90368517,11.02801399,225.9318,4.0,4357061.267301778,4496717.134318144,1212091.0604258496,upper,217853063.0,224835857.0
45.90365748,11.02823306,226.2071,6.0,4357060.402754124,4496711.893537105,1212114.8988566496,upper,217853020.0,224835595.0
45.9036572,11.02823291,226.1953,6.0,4357060.418878353,4496711.86620611,1212114.880312985,upper,217853021.0,224835593.0
45.90363916,11.02821525,226.071,4.0,4357062.009844613,4496710.67511021,1212112.9390818435,upper,217853100.0,224835534.0
45.90361396,11.02819386,225.6718,4.0,4357064.029906513,4496708.802435391,1212110.540275706,upper,217853201.0,224835440.0
45.90360816,11.02819181,226.0658,4.0,4357064.784399061,4496708.670260908,1212110.3930637827,upper,217853239.0,224835434.0
45.90360139,11.02818663,226.3694,3.0,4357065.599363716,4496708.44816496,1212109.8887158718,upper,217853280.0,224835422.0
45.90359445,11.02818461,226.4006,2.0,4357066.195085761,4496707.973102364,1212109.67536047,upper,217853310.0,224835399.0
45.90359678,11.02818344,226.0062,5.0,4357065.760067981,4496707.890052258,1212109.4728809427,upper,217853288.0,224835395.0
45.90359416,11.028183,226.0835,6.0,4357066.024967948,4496707.751989943,1212109.4398943223,upper,217853301.0,224835388.0
45.90357351,11.02816518,226.3313,3.0,4357068.077277648,4496706.627140502,1212107.5524703998,upper,217853404.0,224835331.0
45.90357015,11.02816388,226.383,4.0,4357068.395432648,4496706.427828222,1212107.4212112403,upper,217853420.0,224835321.0
45.90357015,11.02816303,226.3631,4.0,4357068.394356745,4496706.426717837,1212107.325114854,upper,217853420.0,224835321.0
45.90356992,11.02816279,226.0614,3.0,4357068.209875227,4496706.200204105,1212107.2413439518,upper,217853410.0,224835310.0
45.9035629,11.02815963,226.169,3.0,4357068.880844465,4496705.790236739,1212106.9188264443,upper,217853444.0,224835290.0
45.90356472,11.02815781,225.6518,3.0,4357068.411549143,4496705.591719053,1212106.6222820373,upper,217853421.0,224835280.0
45.9035526,11.02815122,225.7321,2.0,4357069.514637975,4496704.826802043,1212105.9221262825,upper,217853476.0,224835241.0
45.9036153,11.02796986,225.8801,3.0,4357067.365358544,4496712.455226928,1212086.2590705128,upper,217853368.0,224835623.0
45.90363247,11.02798269,225.807,3.0,4357065.778969517,4496713.5144217415,1212087.6381194666,upper,217853289.0,224835676.0
45.90363293,11.0279836,225.8473,3.0,4357065.756993775,4496713.563981452,1212087.7446326918,upper,217853288.0,224835678.0
45.90363438,11.02798344,225.9302,3.0,4357065.702172283,4496713.735115284,1212087.7431183152,upper,217853285.0,224835687.0
45.90363859,11.02798503,226.5719,3.0,4357065.78664111,4496714.483442672,1212088.0385041924,upper,217853289.0,224835724.0
45.9036441,11.02799195,225.8503,4.0,4357064.759443063,4496714.288628984,1212088.651817456,upper,217853238.0,224835714.0
45.90364368,11.02799115,225.9919,4.0,4357064.900900632,4496714.368662363,1212088.5920429889,upper,217853245.0,224835718.0
45.90364403,11.027992,226.0305,4.0,4357064.887280291,4496714.409570545,1212088.6917164598,upper,217853244.0,224835720.0
45.90364599,11.02799224,225.9627,4.0,4357064.6836121725,4496714.507179002,1212088.7048053737,upper,217853234.0,224835725.0
45.90364707,11.02799391,225.8693,3.0,4357064.510467166,4496714.498090974,1212088.8682612,upper,217853226.0,224835725.0
45.90364657,11.02799344,226.017,4.0,4357064.657510606,4496714.5713258255,1212088.84548373,upper,217853233.0,224835729.0
45.90364671,11.02799394,226.0369,4.0,4357064.652752782,4496714.588401536,1212088.903578451,upper,217853233.0,224835729.0
45.90364732,11.02799399,226.0753,4.0,4357064.630370097,4496714.661097729,1212088.9163527403,upper,217853232.0,224835733.0
45.90364745,11.02798462,226.0755,3.0,4357064.758273747,4496714.813516472,1212087.89903239,upper,217853238.0,224835741.0
45.90366461,11.02800725,225.9808,3.0,4357063.013614077,4496715.707796987,1212090.3379957592,upper,217853151.0,224835785.0
45.90366614,11.0279999,225.9634,4.0,4357062.989877486,4496715.923575559,1212089.5366326186,upper,217853149.0,224835796.0
45.9036672,11.02800063,226.038,3.0,4357062.946890106,4496716.0456760535,1212089.630163347,upper,217853147.0,224835802.0
45.90366729,11.0280093,225.8349,4.0,4357062.673443307,4496715.777598586,1212090.532667825,upper,217853134.0,224835789.0
45.90367411,11.02801447,225.8242,3.0,4357062.054757931,4496716.210117058,1212091.091959711,upper,217853103.0,224835811.0
45.90367537,11.02801445,225.868,3.0,4357061.986080599,4496716.337112804,1212091.0981666434,upper,217853099.0,224835817.0
45.90367601,11.02801512,225.9282,3.0,4357061.967103882,4496716.418035446,1212091.1824282557,upper,217853098.0,224835821.0
45.90367663,11.02801648,226.0111,3.0,4357061.955041278,4496716.502952953,1212091.3459496705,upper,217853098.0,224835825.0
45.90367547,11.02801285,226.5152,4.0,4357062.443840201,4496716.825249021,1212091.0482469893,upper,217853122.0,224835841.0
45.90367897,11.02801839,226.0058,4.0,4357061.739648121,4496716.648136867,1212091.5523162808,upper,217853087.0,224835832.0
45.90367795,11.02801492,226.5247,4.0,4357062.225212186,4496716.989080469,1212091.2748168802,upper,217853111.0,224835849.0
45.90368074,11.02801733,226.5474,3.0,4357061.986264014,4496717.180623822,1212091.5408276778,upper,217853099.0,224835859.0
